fecha,hora,demanda
20/06/2013,11,243.823
20/06/2013,12,251.086
20/06/2013,13,254.147
20/06/2013,14,254.336
20/06/2013,15,254.291
20/06/2013,16,260.806
20/06/2013,17,282.157
20/06/2013,18,315.57
20/06/2013,19,330.492
20/06/2013,20,334.19
20/06/2013,21,331.369
20/06/2013,22,317.776
20/06/2013,23,293.287
21/06/2013,0,262.691
21/06/2013,1,238.305
21/06/2013,2,222.234
21/06/2013,3,212.782
21/06/2013,4,207.377
21/06/2013,5,204.489
21/06/2013,6,205.906
21/06/2013,7,213.057
21/06/2013,8,221.148
21/06/2013,9,237.327
21/06/2013,10,250.372
21/06/2013,11,256.596
21/06/2013,12,254.09
21/06/2013,13,248.236
21/06/2013,14,244.662
21/06/2013,15,243.595
21/06/2013,16,250.126
21/06/2013,17,264.49
21/06/2013,18,302.709
21/06/2013,19,323.029
21/06/2013,20,327.674
21/06/2013,21,326.586
21/06/2013,22,318.268
21/06/2013,23,296.016
22/06/2013,0,267.993
22/06/2013,1,246.74
22/06/2013,2,229.678
22/06/2013,3,220.239
22/06/2013,4,215.342
22/06/2013,5,214.971
22/06/2013,6,220.88
22/06/2013,7,228.87
22/06/2013,8,235.557
22/06/2013,9,246.722
22/06/2013,10,248.111
22/06/2013,11,245.912
22/06/2013,12,244.262
22/06/2013,13,240.12
22/06/2013,14,235.882
22/06/2013,15,232.494
22/06/2013,16,235.915
22/06/2013,17,251.929
22/06/2013,18,295.541
22/06/2013,19,320.982
22/06/2013,20,325.999
22/06/2013,21,326.94
22/06/2013,22,319.039
22/06/2013,23,302.076
23/06/2013,0,276.993
23/06/2013,1,251.656
23/06/2013,2,235.281
23/06/2013,3,224.248
23/06/2013,4,217.5
23/06/2013,5,214.483
23/06/2013,6,215.693
23/06/2013,7,215.676
23/06/2013,8,214.83
23/06/2013,9,222.371
23/06/2013,10,224.052
23/06/2013,11,221.545
23/06/2013,12,215.329
23/06/2013,13,215.055
23/06/2013,14,215.848
23/06/2013,15,219.866
23/06/2013,16,228.378
23/06/2013,17,250.228
23/06/2013,18,294.183
23/06/2013,19,313.469
23/06/2013,20,315.462
23/06/2013,21,314.674
23/06/2013,22,305.023
23/06/2013,23,281.427
24/06/2013,0,250.04
24/06/2013,1,224.088
24/06/2013,2,210.459
24/06/2013,3,203.752
24/06/2013,4,200.893
24/06/2013,5,207.079
24/06/2013,6,230.262
24/06/2013,7,246.767
24/06/2013,8,243.866
24/06/2013,9,244.674
24/06/2013,10,247.358
24/06/2013,11,255.25
24/06/2013,12,254.535
24/06/2013,13,249.289
24/06/2013,14,248.299
24/06/2013,15,245.518
24/06/2013,16,254.976
24/06/2013,17,271.871
24/06/2013,18,306.845
24/06/2013,19,327.973
24/06/2013,20,333.384
24/06/2013,21,335.944
24/06/2013,22,327.082
24/06/2013,23,298.05
25/06/2013,0,259.497
25/06/2013,1,230.193
25/06/2013,2,215.491
25/06/2013,3,208.026
25/06/2013,4,205.067
25/06/2013,5,210.704
25/06/2013,6,234.861
25/06/2013,7,253.564
25/06/2013,8,247.737
25/06/2013,9,247.993
25/06/2013,10,250.886
25/06/2013,11,258.774
25/06/2013,12,257.194
25/06/2013,13,251.977
25/06/2013,14,252.356
25/06/2013,15,250.175
25/06/2013,16,256.639
25/06/2013,17,269.842
25/06/2013,18,309.36
25/06/2013,19,331.376
25/06/2013,20,336.121
25/06/2013,21,340.921
25/06/2013,22,331.9
25/06/2013,23,301.724
26/06/2013,0,268.134
26/06/2013,1,240.031
26/06/2013,2,224.476
26/06/2013,3,217.726
26/06/2013,4,214.786
26/06/2013,5,220.735
26/06/2013,6,245.187
26/06/2013,7,262.697
26/06/2013,8,257.632
26/06/2013,9,251.212
26/06/2013,10,250.287
26/06/2013,11,248.936
26/06/2013,12,240.483
26/06/2013,13,230.412
26/06/2013,14,230.973
26/06/2013,15,231.073
26/06/2013,16,238.523
26/06/2013,17,252.882
26/06/2013,18,292.219
26/06/2013,19,318.935
26/06/2013,20,330.499
26/06/2013,21,340.666
26/06/2013,22,325.569
26/06/2013,23,301.899
27/06/2013,0,267.622
27/06/2013,1,239.778
27/06/2013,2,226.214
27/06/2013,3,218.977
27/06/2013,4,217.388
27/06/2013,5,222.965
27/06/2013,6,245.738
27/06/2013,7,265.392
27/06/2013,8,258.729
27/06/2013,9,254.021
27/06/2013,10,251.492
27/06/2013,11,249.773
27/06/2013,12,244.773
27/06/2013,13,237.653
27/06/2013,14,237.262
27/06/2013,15,236.842
27/06/2013,16,246.594
27/06/2013,17,264.513
27/06/2013,18,293.727
27/06/2013,19,320.086
27/06/2013,20,323.624
27/06/2013,21,320.223
27/06/2013,22,314.399
27/06/2013,23,274.517
28/06/2013,0,246.923
28/06/2013,1,220.678
28/06/2013,2,206.601
28/06/2013,3,199.317
28/06/2013,4,196.369
28/06/2013,5,202.761
28/06/2013,6,224.427
28/06/2013,7,240.641
28/06/2013,8,237.767
28/06/2013,9,237.757
28/06/2013,10,240.972
28/06/2013,11,246.33
28/06/2013,12,240.156
28/06/2013,13,233.574
28/06/2013,14,225.025
28/06/2013,15,226.813
28/06/2013,16,241.167
28/06/2013,17,259.563
28/06/2013,18,290.499
28/06/2013,19,308.861
28/06/2013,20,302.731
28/06/2013,21,292.253
28/06/2013,22,271.836
28/06/2013,23,261.985
29/06/2013,0,229.7
29/06/2013,1,209.327
29/06/2013,2,192.829
29/06/2013,3,185.88
29/06/2013,4,182.539
29/06/2013,5,183.949
29/06/2013,6,191.016
29/06/2013,7,200.844
29/06/2013,8,208.27
29/06/2013,9,219.276
29/06/2013,10,221.002
29/06/2013,11,218.084
29/06/2013,12,214.754
29/06/2013,13,208.682
29/06/2013,14,205.401
29/06/2013,15,203.586
29/06/2013,16,211.307
29/06/2013,17,228.042
29/06/2013,18,266.003
29/06/2013,19,291.67
29/06/2013,20,296.959
29/06/2013,21,292.051
29/06/2013,22,278.995
29/06/2013,23,255.469
30/06/2013,0,235.783
30/06/2013,1,217.76
30/06/2013,2,203.365
30/06/2013,3,192.386
30/06/2013,4,187.461
30/06/2013,5,186.082
30/06/2013,6,187.564
30/06/2013,7,186.966
30/06/2013,8,183.638
30/06/2013,9,191.446
30/06/2013,10,192.685
30/06/2013,11,194.079
30/06/2013,12,193.823
30/06/2013,13,186.646
30/06/2013,14,181.74
30/06/2013,15,180.724
30/06/2013,16,186.567
30/06/2013,17,203.549
30/06/2013,18,256.667
30/06/2013,19,286.291
30/06/2013,20,291.722
30/06/2013,21,293.288
